SK_ID_CURR,TARGET
100001,0.050699055
100005,0.101500414
100013,0.019101702
100028,0.038807422
100038,0.11144916
100042,0.04679174
100057,0.023789363
100065,0.055071842
100066,0.022160435
100067,0.10286034
100074,0.0566911
100090,0.05783464
100091,0.16354145
100092,0.0746371
100106,0.04737005
100107,0.1288504
100109,0.06769629
100117,0.032905407
100128,0.08915101
100141,0.032370698
100150,0.028519873
100168,0.01830674
100169,0.05161839
100170,0.04210442
100171,0.025729224
100172,0.08578213
100184,0.07841236
100187,0.0458896
100212,0.04555976
100222,0.0666261
100223,0.023672223
100232,0.03427033
100241,0.09568321
100245,0.033376537
100253,0.023288442
100256,0.07949934
100271,0.018917223
100278,0.13382034
100280,0.012734753
100306,0.118424624
100311,0.14742197
100312,0.03283417
100330,0.0747139
100331,0.035347503
100352,0.078152135
100358,0.06252403
100367,0.054973733
100382,0.13849932
100384,0.06414711
100385,0.05037512
100386,0.045499645
100399,0.029811714
100404,0.06837268
100416,0.01934367
100422,0.0756022
100426,0.03684263
100438,0.031008838
100444,0.1375065
100445,0.19013947
100446,0.09593848
100447,0.02971951
100450,0.05018647
100466,0.038316384
100483,0.029542176
100484,0.023401406
100494,0.046989255
100510,0.15103552
100512,0.03129372
100517,0.026816286
100548,0.047494553
100551,0.0360443
100552,0.113298595
100553,0.026732938
100561,0.10622436
100568,0.35414279
100569,0.032841332
100591,0.065530136
100592,0.029323746
100602,0.061142158
100607,0.0379705
100613,0.05932211
100617,0.16547883
100618,0.059673667
100622,0.064632
100625,0.10709431
100677,0.1361715
100699,0.05451152
100702,0.30890745
100711,0.06468125
100729,0.17964612
100740,0.14736666
100744,0.1639691
100745,0.04326312
100747,0.0491393
100751,0.29906774
100752,0.06288755
100753,0.23547229
100754,0.15450117
100760,0.05135821
100762,0.09296516
100763,0.051948536
100765,0.024059106
100770,0.08767587
100772,0.022291273
100777,0.030758267
100791,0.03473962
100792,0.023314632
100797,0.022298886
100823,0.027339756
100826,0.03723369
100830,0.031347003
100836,0.20284308
100872,0.06667239
100910,0.0733338
100913,0.13152294
100918,0.07283847
100931,0.02524712
100952,0.03715372
100953,0.037277784
100965,0.2088237
100970,0.037428997
100982,0.13100691
100983,0.19879991
100984,0.052141313
100987,0.043199256
100997,0.07356549
100998,0.06323826
101002,0.08582638
101005,0.2269198
101008,0.08418141
101020,0.08475088
101021,0.05057784
101024,0.06763174
101025,0.076295435
101026,0.03406531
